,گروه کالا1,گروه کالا2,support,ضریب اطمینان,lift
217,"['200057.0', '200053.0']",['200052.0'],0.010869565217391304,1.0,46.0
218,['200052.0'],"['200053.0', '200063.0']",0.010869565217391304,0.5,46.0
219,['200053.0'],"['200063.0', '200052.0']",0.010869565217391304,0.3333333333333333,30.666666666666664
220,['200063.0'],"['200053.0', '200052.0']",0.010869565217391304,0.125,5.75
221,"['200053.0', '200052.0']",['200063.0'],0.010869565217391304,0.5,5.75
222,"['200063.0', '200052.0']",['200053.0'],0.010869565217391304,1.0,30.666666666666668
223,"['200053.0', '200063.0']",['200052.0'],0.010869565217391304,1.0,46.0
224,['200052.0'],"['200070.0', '200053.0']",0.010869565217391304,0.5,46.0
225,['200053.0'],"['200070.0', '200052.0']",0.010869565217391304,0.3333333333333333,30.666666666666664
226,"['200053.0', '200052.0']",['200070.0'],0.010869565217391304,0.5,2.1904761904761907
227,"['200070.0', '200052.0']",['200053.0'],0.010869565217391304,1.0,30.666666666666668
228,"['200070.0', '200053.0']",['200052.0'],0.010869565217391304,1.0,46.0
229,['200052.0'],"['200053.0', '200071.0']",0.010869565217391304,0.5,46.0
230,['200053.0'],"['200052.0', '200071.0']",0.010869565217391304,0.3333333333333333,30.666666666666664
231,['200071.0'],"['200053.0', '200052.0']",0.010869565217391304,0.0909090909090909,4.181818181818182
232,"['200053.0', '200052.0']",['200071.0'],0.010869565217391304,0.5,4.181818181818182
233,"['200052.0', '200071.0']",['200053.0'],0.010869565217391304,1.0,30.666666666666668
234,"['200053.0', '200071.0']",['200052.0'],0.010869565217391304,1.0,46.0
235,['200052.0'],"['200053.0', '200072.0']",0.010869565217391304,0.5,23.0
236,['200053.0'],"['200072.0', '200052.0']",0.010869565217391304,0.3333333333333333,30.666666666666664
237,"['200072.0', '200052.0']",['200053.0'],0.010869565217391304,1.0,30.666666666666668
238,"['200053.0', '200072.0']",['200052.0'],0.010869565217391304,0.5,23.0
239,['200052.0'],"['200057.0', '200063.0']",0.010869565217391304,0.5,23.0
240,['200057.0'],"['200063.0', '200052.0']",0.010869565217391304,0.3333333333333333,30.666666666666664
241,['200063.0'],"['200057.0', '200052.0']",0.010869565217391304,0.125,11.5
242,"['200057.0', '200052.0']",['200063.0'],0.010869565217391304,1.0,11.5
243,"['200063.0', '200052.0']",['200057.0'],0.010869565217391304,1.0,30.666666666666668
244,"['200057.0', '200063.0']",['200052.0'],0.010869565217391304,0.5,23.0
245,['200052.0'],"['200057.0', '200070.0']",0.010869565217391304,0.5,46.0
246,['200057.0'],"['200070.0', '200052.0']",0.010869565217391304,0.3333333333333333,30.666666666666664
247,"['200057.0', '200052.0']",['200070.0'],0.010869565217391304,1.0,4.380952380952381
248,"['200070.0', '200052.0']",['200057.0'],0.010869565217391304,1.0,30.666666666666668
249,"['200057.0', '200070.0']",['200052.0'],0.010869565217391304,1.0,46.0
250,['200052.0'],"['200057.0', '200071.0']",0.010869565217391304,0.5,23.0
251,['200057.0'],"['200052.0', '200071.0']",0.010869565217391304,0.3333333333333333,30.666666666666664
252,['200071.0'],"['200057.0', '200052.0']",0.010869565217391304,0.0909090909090909,8.363636363636363
253,"['200057.0', '200052.0']",['200071.0'],0.010869565217391304,1.0,8.363636363636363
254,"['200052.0', '200071.0']",['200057.0'],0.010869565217391304,1.0,30.666666666666668
255,"['200057.0', '200071.0']",['200052.0'],0.010869565217391304,0.5,23.0
256,['200052.0'],"['200057.0', '200072.0']",0.010869565217391304,0.5,46.0
257,['200057.0'],"['200072.0', '200052.0']",0.010869565217391304,0.3333333333333333,30.666666666666664
258,"['200057.0', '200052.0']",['200072.0'],0.010869565217391304,1.0,2.6285714285714286
259,"['200072.0', '200052.0']",['200057.0'],0.010869565217391304,1.0,30.666666666666668
260,"['200057.0', '200072.0']",['200052.0'],0.010869565217391304,1.0,46.0
261,['200052.0'],"['200070.0', '200063.0']",0.010869565217391304,0.5,15.333333333333334
262,['200063.0'],"['200070.0', '200052.0']",0.010869565217391304,0.125,11.5
263,"['200063.0', '200052.0']",['200070.0'],0.010869565217391304,1.0,4.380952380952381
264,"['200070.0', '200052.0']",['200063.0'],0.010869565217391304,1.0,11.5
265,"['200070.0', '200063.0']",['200052.0'],0.010869565217391304,0.3333333333333333,15.333333333333332
266,['200052.0'],"['200063.0', '200071.0']",0.010869565217391304,0.5,11.5
267,['200063.0'],"['200052.0', '200071.0']",0.010869565217391304,0.125,11.5
268,['200071.0'],"['200063.0', '200052.0']",0.010869565217391304,0.0909090909090909,8.363636363636363
269,"['200063.0', '200052.0']",['200071.0'],0.010869565217391304,1.0,8.363636363636363
270,"['200052.0', '200071.0']",['200063.0'],0.010869565217391304,1.0,11.5
271,"['200063.0', '200071.0']",['200052.0'],0.010869565217391304,0.25,11.5
