,date,value,flag,MA5,MA20
517,10/5/2019,1863401187,past,1687173683,1589190560
518,10/6/2019,1592348968,past,1700852236,1577536856
519,10/7/2019,1430000297,past,1687528249,1575086428
520,10/8/2019,1503780329,past,1635921335,1563719813
521,10/9/2019,1561128170,past,1590131790,1579844083
522,10/10/2019,1635474205,past,1544546394,1606876301
523,10/12/2019,1229916353,past,1472059871,1598271397
524,10/13/2019,1359868000,past,1458033411,1575113589
525,10/14/2019,1699331554,past,1497143656,1575501689
526,10/15/2019,1788747208,past,1542667464,1581147669
527,10/16/2019,1695609863,past,1554694596,1598284386
528,10/17/2019,2318576759,past,1772426677,1637724397
529,10/20/2019,1785080908,past,1857469258,1648822253
530,10/21/2019,1711025184,past,1859807984,1646092755
531,10/22/2019,1814582632,past,1864975069,1667654091
532,10/23/2019,1533626474,past,1832578391,1654748266
533,10/24/2019,1973592635,past,1763581567,1677230088
534,10/26/2019,1630178228,past,1732601031,1683907987
535,10/27/2019,107550000,past,1411905994,1601194742
536,10/28/2019,2155850564,past,1480159580,1619483476
537,10/29/2019,1382773255,past,1449988936,1595452079
538,10/30/2019,1874894954,past,1430249400,1609579379
